NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Santi Aldama,PF,23,25.3,9.7,3.6,7.8,46.1,1.3,3.7,33.7,1.2,1.7,71.1,5.9,1.3,0.8,1,0.6,2,0,15.06
AJ Griffin,F,20,19.3,9.7,3.9,8.2,47.2,1.6,4.3,37.6,0.4,0.4,100,2.1,0.8,1.2,0.1,0.8,0,0,15.53
Josh Hart,SG,22,35.5,9.6,3.5,7.3,48.4,0.6,2,32.6,1.9,2.5,73.2,8.5,4.2,1.5,0.1,1.7,2,0,13
Nick Richards,C,24,19.3,9.6,3.7,5.9,62,0,0,0,2.3,3.1,73,6.8,0.7,0.1,0.8,0.9,6,0,21.32
Mason Plumlee,C,24,27.6,9.3,3.5,6,58.6,0,0,0,2.3,3.9,57.4,9.1,4.1,0.6,0.5,1.9,9,0,16.66
Aleksej Pokusevski,F,21,22.3,9.3,3.7,8.1,45.9,1.2,3.3,37.1,0.6,1,61.9,5,1.7,0.6,1.5,1.4,2,0,15.21
Tre Mann,PG,21,22.1,9.2,3.6,9.5,38,1.4,5.1,28,0.5,0.8,64.7,2.7,1.8,0.9,0.1,1,0,0,9.41
Brandon Clarke,PF,24,19.2,9.2,3.8,6.3,60.3,0,0.3,16.7,1.5,2.1,72.5,4.8,1.2,0.3,0.9,1.2,3,0,17.49
Monte Morris,PG,21,27.2,9.1,3.6,8,44.6,1.2,3.1,37.9,0.8,1.1,73.9,3.7,5,0.8,0.2,0.9,0,0,14.06
Patrick Williams,PF,23,25.9,9.1,3.3,7.4,45,1.3,3,42,1.2,1.3,93.1,4,0.8,0.7,1,1.6,0,0,10.25
Grant Williams,PF,24,29,9.1,3.2,6,53.5,1.7,3.8,45.6,1,1.2,85.7,4.6,1.9,0.8,0.4,0.8,1,0,12.58
Andrew Nembhard,PG,19,23.8,9.1,3.5,7.2,48.5,1.6,3.7,42.9,0.5,0.6,90.9,2.8,4.2,0.9,0.2,1.3,2,0,13.59
Larry Nance Jr.,PF,21,22.2,9,3.9,5.9,66.1,0.3,0.8,41.2,0.9,1.2,76,5.2,1.7,0.8,0.8,1,0,0,18.41
Cedi Osman,SF,24,23.2,9,3.3,7.3,45.4,1.4,4.1,34.7,1,1.5,71.4,3,1.7,0.4,0.1,1,1,0,10.78
Terrence Ross,SG,22,24.5,9,3.5,8.1,42.7,1.7,4.3,39.4,0.4,0.6,69.2,2.2,1.3,0.7,0.2,1.2,0,0,9.09
Gabe Vincent,PG,19,24.8,8.8,3.2,8.1,39,1.4,4.8,29.7,1.1,1.3,84,2.1,2.9,0.8,0.1,1.4,0,0,9.04
Tari Eason,F,24,18.7,8.8,3.4,7.8,43.1,0.7,2,36.2,1.3,1.6,84.2,5.4,0.8,1.4,0.4,0.8,1,0,18.32
Jeremiah Robinson-Earl,PF,23,21.3,8.8,3.3,6.7,49.7,1.2,3,40,0.9,1.1,76.9,5,1,0.8,0.4,0.6,1,0,16.52
Jevon Carter,PG,23,27.1,8.6,3.2,7.5,43,1.5,3.7,40,0.7,0.8,84.2,2.7,3.5,1.4,0.7,1.4,1,0,11.87
Jarred Vanderbilt,PF,24,24.9,8.6,3.6,6,60.8,0.5,1.1,46.2,0.8,1.3,62.5,8.3,2.8,1.2,0.3,1.6,3,0,16.59
Draymond Green,PF,23,31,8.6,3.5,6.2,55.9,0.5,1.5,31.4,1.1,1.6,72.2,6.3,7,0.9,0.9,2.4,2,0,13.69
Joe Harris,SF,23,26.1,8.6,3,7.7,39.8,2,5.4,36.8,0.5,0.7,73.3,3.2,1.7,0.6,0.3,0.6,0,0,9.05
John Konchar,SG,22,27.9,8.5,3.1,6.6,46.9,1.7,4.1,41.1,0.6,0.7,87.5,6.5,1.4,1.1,0.3,0.8,2,0,13.2
Dorian Finney-Smith,PF,23,32.7,8.4,3,7.6,40.2,1.7,5.3,32.8,0.6,0.8,73.7,4.1,1,1,0.5,0.9,0,0,8.77
Damion Lee,SG,24,21.3,8.4,2.8,6.1,46.3,1.9,3.9,48.4,0.9,1,91.3,3.6,1.4,0.5,0,0.8,0,0,13.46
Cam Reddish,SF,20,21.9,8.4,3.1,6.8,44.9,0.9,2.8,30.4,1.5,1.7,87.9,1.6,1,0.8,0.4,0.8,0,0,10.68
Mo Bamba,C,19,18.7,8.2,3,6.3,47.9,1.1,2.9,35.7,1.2,1.6,71,4.5,1.2,0.3,0.8,0.9,1,0,15.5
Terance Mann,SG,25,21.2,8.2,3.2,6,54.4,0.6,1.8,32.6,1.1,1.5,73,3.4,1.8,0.6,0.2,1,0,0,13.81
Goran Dragic,PG,22,17.4,8.1,3.1,7.1,43.6,1.1,2.7,41.7,0.8,1.2,65.4,1.7,3.2,0.3,0.2,1.3,0,0,12.79
Killian Hayes,PG,25,24.2,8.1,3.2,8.7,37.3,1,2.8,33.8,0.6,0.8,84.2,2.6,4.7,1.1,0.5,1.7,0,0,9.76
Jeremy Sochan,F,20,24.9,8.1,3.6,7.5,47.3,0.4,2.2,18.2,0.6,1,55,4.1,2,1,0.5,1.6,0,0,9.38
Shaedon Sharpe,SG,23,20.1,8,3.3,7,46.9,0.9,2.4,37.5,0.6,1,60.9,2.4,0.5,0.3,0.2,0.7,0,0,9.65
Naz Reid,C,17,14.5,7.9,3.2,6.1,52.4,0.6,2.2,28.9,0.9,1.5,64,3.5,0.8,0.3,1,0.7,1,0,16.7
Keita Bates-Diop,SF,22,18.1,7.9,3.1,6,52.3,0.5,1.4,36.7,1.1,1.4,83.3,2.9,0.7,0.6,0.2,0.8,0,0,14.34
Taurean Prince,PF,18,19.6,7.9,2.8,5.7,49.5,1.2,3,38.9,1.1,1.2,86.4,2.5,1.2,0.3,0.2,1.2,0,0,9.96
Obi Toppin,PF,24,17.5,7.9,3,7,42.3,1.4,3.9,35.1,0.6,0.7,82.4,3.9,1.1,0.4,0.2,0.8,0,0,12.7
Steven Adams,C,22,27.1,7.9,3.5,5.9,59.7,0,0,0,0.9,2.8,30.6,10.9,2.3,0.8,1,2.2,7,0,16.45
Troy Brown Jr.,SF,19,25.6,7.8,3.1,6.7,45.3,1.1,3.2,35,0.6,0.6,100,4.7,1,0.8,0.1,0.9,1,0,9.37
Onyeka Okongwu,PF,23,20.3,7.7,3.3,5,64.7,0,0.1,0,1.2,1.6,73,6,1,0.5,0.7,0.9,2,0,17.26
Justise Winslow,PF,21,29,7.7,3.1,7.7,40.7,0.5,1.7,31.4,0.9,1.2,69.2,5.5,3.7,1.1,0.4,1.6,1,0,10.07
